MD_m,GR_API,poisson_ratio,young_modulus_Pa,sigma_hmin_Pa,KIC_Pa_sqrt_m,carter_m_sqrt_s
5100.0,85.0,0.24,30000000000,72000000,500000,0.0000005
5150.0,86.0,0.24,30500000000,73000000,500000,0.0000005
5174.0,87.0,0.25,31000000000,76000000,500000,0.0000005
5200.0,88.0,0.25,31200000000,75000000,500000,0.0000005
5219.5,88.0,0.25,31400000000,76000000,500000,0.0000005
5224.0,89.0,0.25,31500000000,78000000,500000,0.0000005
5245.5,89.0,0.26,31800000000,79000000,500000,0.0000005
5250.0,90.0,0.26,32000000000,80000000,500000,0.0000005
5270.0,90.0,0.26,32200000000,81000000,500000,0.0000005
5297.0,91.0,0.27,32500000000,82000000,500000,0.0000005
5350.0,92.0,0.27,33000000000,83000000,500000,0.0000005
