entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_node_id
E0001,井号 红页L1HF,well,,,,,well:红页L1HF
E0002,井号时间 2024-01-04 14:21:40,time,,,,,well_time:红页L1HF
E0003,段号 1,segment,,,,,segment:红页L1HF:1
E0004,段号时间 2024-01-04 14:21:40,time,,,,,segment_time:红页L1HF:1
E0005,砂比平均值: 6.5207,stat,,,,,segment_stats:红页L1HF:1:砂比:mean
E0006,砂比方差: 3.7453,stat,,,,,segment_stats:红页L1HF:1:砂比:var
E0007,排量平均值: 11.0978,stat,,,,,segment_stats:红页L1HF:1:排量:mean
E0008,排量方差: 86.5513,stat,,,,,segment_stats:红页L1HF:1:排量:var
E0009,施工泵压平均值: 57.1497,stat,,,,,segment_stats:红页L1HF:1:施工泵压:mean
E0010,施工泵压方差: 415.1877,stat,,,,,segment_stats:红页L1HF:1:施工泵压:var
E0011,施工情况 加砂前,condition,,,,,condition:红页L1HF:1:加砂前
E0012,施工时间 2024-01-04 14:21:40,time,,,,,condition_time:红页L1HF:1:加砂前
E0013,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:1:加砂前:砂比:mean
E0014,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:1:加砂前:砂比:var
E0015,排量平均值: 6.455,stat,,,,,condition_stats:红页L1HF:1:加砂前:排量:mean
E0016,排量方差: 36.4102,stat,,,,,condition_stats:红页L1HF:1:加砂前:排量:var
E0017,施工泵压平均值: 61.8049,stat,,,,,condition_stats:红页L1HF:1:加砂前:施工泵压:mean
E0018,施工泵压方差: 228.6507,stat,,,,,condition_stats:红页L1HF:1:加砂前:施工泵压:var
E0019,施工情况 加砂中,condition,,,,,condition:红页L1HF:1:加砂中
E0020,施工时间 2024-01-04 15:06:20,time,,,,,condition_time:红页L1HF:1:加砂中
E0021,砂比平均值: 6.5207,stat,,,,,condition_stats:红页L1HF:1:加砂中:砂比:mean
E0022,砂比方差: 3.7453,stat,,,,,condition_stats:红页L1HF:1:加砂中:砂比:var
E0023,排量平均值: 20.6746,stat,,,,,condition_stats:红页L1HF:1:加砂中:排量:mean
E0024,排量方差: 0.091,stat,,,,,condition_stats:红页L1HF:1:加砂中:排量:var
E0025,施工泵压平均值: 70.7477,stat,,,,,condition_stats:红页L1HF:1:加砂中:施工泵压:mean
E0026,施工泵压方差: 1.514,stat,,,,,condition_stats:红页L1HF:1:加砂中:施工泵压:var
E0027,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:1:加砂中:主缝延伸
E0028,工况时间 2024-01-04 15:32:30,time,,,,,worktype_time:红页L1HF:1:加砂中:主缝延伸
E0029,砂比平均值: 7.7158,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:mean
E0030,砂比方差: 1.8924,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:var
E0031,排量平均值: 20.9446,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:mean
E0032,排量方差: 0.0213,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:var
E0033,施工泵压平均值: 70.2212,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:mean
E0034,施工泵压方差: 0.8402,stat,,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:var
E0035,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:1:加砂中:主缝延伸
E0036,施工情况 加砂后,condition,,,,,condition:红页L1HF:1:加砂后
E0037,施工时间 2024-01-04 15:54:20,time,,,,,condition_time:红页L1HF:1:加砂后
E0038,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:1:加砂后:砂比:mean
E0039,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:1:加砂后:砂比:var
E0040,排量平均值: 3.0861,stat,,,,,condition_stats:红页L1HF:1:加砂后:排量:mean
E0041,排量方差: 53.5988,stat,,,,,condition_stats:红页L1HF:1:加砂后:排量:var
E0042,施工泵压平均值: 30.3825,stat,,,,,condition_stats:红页L1HF:1:加砂后:施工泵压:mean
E0043,施工泵压方差: 267.4653,stat,,,,,condition_stats:红页L1HF:1:加砂后:施工泵压:var
E0044,工况 主缝延伸,worktype,,,,,worktype:红页L1HF:1:加砂后:主缝延伸
E0045,工况时间 2024-01-04 15:54:20,time,,,,,worktype_time:红页L1HF:1:加砂后:主缝延伸
E0046,砂比平均值: 无数据,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:mean
E0047,砂比方差: 无数据,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:var
E0048,排量平均值: 20.9975,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:mean
E0049,排量方差: 0.0,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:var
E0050,施工泵压平均值: 70.265,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:mean
E0051,施工泵压方差: 0.0051,stat,,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:var
E0052,当前建议: 保持当前措施,suggestion,,,,,suggestion:红页L1HF:1:加砂后:主缝延伸
E0053,段号 10,segment,,,,,segment:红页L1HF:10
E0054,段号时间 2024-01-09 09:59:00,time,,,,,segment_time:红页L1HF:10
E0055,砂比平均值: 9.3981,stat,,,,,segment_stats:红页L1HF:10:砂比:mean
E0056,砂比方差: 6.6821,stat,,,,,segment_stats:红页L1HF:10:砂比:var
E0057,排量平均值: 18.6762,stat,,,,,segment_stats:红页L1HF:10:排量:mean
E0058,排量方差: 92.1738,stat,,,,,segment_stats:红页L1HF:10:排量:var
E0059,施工泵压平均值: 72.1342,stat,,,,,segment_stats:红页L1HF:10:施工泵压:mean
E0060,施工泵压方差: 380.947,stat,,,,,segment_stats:红页L1HF:10:施工泵压:var
E0061,施工情况 加砂前,condition,,,,,condition:红页L1HF:10:加砂前
E0062,施工时间 2024-01-09 09:59:00,time,,,,,condition_time:红页L1HF:10:加砂前
E0063,砂比平均值: 无数据,stat,,,,,condition_stats:红页L1HF:10:加砂前:砂比:mean
E0064,砂比方差: 无数据,stat,,,,,condition_stats:红页L1HF:10:加砂前:砂比:var
E0065,排量平均值: 13.351,stat,,,,,condition_stats:红页L1HF:10:加砂前:排量:mean
E0066,排量方差: 82.6414,stat,,,,,condition_stats:红页L1HF:10:加砂前:排量:var
E0067,施工泵压平均值: 55.6879,stat,,,,,condition_stats:红页L1HF:10:加砂前:施工泵压:mean
E0068,施工泵压方差: 341.0919,stat,,,,,condition_stats:红页L1HF:10:加砂前:施工泵压:var
E0069,施工情况 加砂中,condition,,,,,condition:红页L1HF:10:加砂中
E0070,施工时间 2024-01-09 10:05:50,time,,,,,condition_time:红页L1HF:10:加砂中
E0071,砂比平均值: 9.3981,stat,,,,,condition_stats:红页L1HF:10:加砂中:砂比:mean
E0072,砂比方差: 6.6821,stat,,,,,condition_stats:红页L1HF:10:加砂中:砂比:var
E0073,排量平均值: 23.6559,stat,,,,,condition_stats:红页L1HF:10:加砂中:排量:mean
E0074,排量方差: 2.6753,stat,,,,,condition_stats:红页L1HF:10:加砂中:排量:var
E0075,施工泵压平均值: 82.179,stat,,,,,condition_stats:红页L1HF:10:加砂中:施工泵压:mean
E0076,施工泵压方差: 32.7494,stat,,,,,condition_stats:红页L1HF:10:加砂中:施工泵压:var
E0077,工况 缝内暂堵,worktype,,,,,worktype:红页L1HF:10:加砂中:缝内暂堵
E0078,工况时间 2024-01-09 10:23:30,time,,,,,worktype_time:红页L1HF:10:加砂中:缝内暂堵
E0079,砂比平均值: 7.2755,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:mean
E0080,砂比方差: 4.8161,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:砂比:var
E0081,排量平均值: 24.0287,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:mean
E0082,排量方差: 0.0005,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:排量:var
E0083,施工泵压平均值: 80.2892,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:mean
E0084,施工泵压方差: 13.6051,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝内暂堵:施工泵压:var
E0085,当前建议: 无建议,suggestion,,,,,suggestion:红页L1HF:10:加砂中:缝内暂堵
E0086,工况 缝口暂堵,worktype,,,,,worktype:红页L1HF:10:加砂中:缝口暂堵
E0087,工况时间 2024-01-09 10:43:30,time,,,,,worktype_time:红页L1HF:10:加砂中:缝口暂堵
E0088,砂比平均值: 8.0,stat,,,,,worktype_stats:红页L1HF:10:加砂中:缝口暂堵:砂比:mean
