entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_id
E00001,井 红页L1HF,井,井 红页L1HF 为压裂施工井实体。,,,,well:红页L1HF
E00002,段 1,压裂段,井 红页L1HF 的第 1 段。,,,,segment:红页L1HF:1
E00003,时间窗 W001,时间窗,井 红页L1HF-段 1 中使用液型 未标注液型 的连续时间窗。,,,,time_window:红页L1HF:1:1
E00004,液型 未标注液型,液型,液型 未标注液型 为液体体系/液型实体。,,,,fluid_type:未标注液型
E00005,未标注液型@时间窗 W001,液型时间窗,井 红页L1HF-段 1-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:1:未标注液型
E00006,"施工泵压变化 起5.07→止5.07，变化0，均值5.07，范围[5.07, 5.07]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:1
E00007,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:1
E00008,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:1
E00009,时间窗 W002,时间窗,井 红页L1HF-段 1 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:1:2
E00010,液型 0.12%减阻水,液型,液型 0.12%减阻水 为液体体系/液型实体。,,,,fluid_type:0.12%减阻水
E00011,0.12%减阻水@时间窗 W002,液型时间窗,井 红页L1HF-段 1-时间窗 W002 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:2:0.12%减阻水
E00012,"施工泵压变化 起7.61→止61.13，变化53.52，均值48.94，范围[7.61, 63.26]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:2
E00013,"排量变化 起0.73→止1.15，变化0.42，均值1.1355，范围[0.73, 1.27]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:2
E00014,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:2
E00015,时间窗 W003,时间窗,井 红页L1HF-段 1 中使用液型 15%HCl 的连续时间窗。,,,,time_window:红页L1HF:1:3
E00016,液型 15%HCl,液型,液型 15%HCl 为液体体系/液型实体。,,,,fluid_type:15%HCl
E00017,15%HCl@时间窗 W003,液型时间窗,井 红页L1HF-段 1-时间窗 W003 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:3:15%HCl
E00018,"施工泵压变化 起60.83→止52.09，变化-8.74，均值56.569，范围[52.09, 60.91]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:3
E00019,"排量变化 起1.15→止2.09，变化0.94，均值1.9736，范围[1.15, 2.09]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:3
E00020,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:3
E00021,时间窗 W004,时间窗,井 红页L1HF-段 1 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:1:4
E00022,液型 0.25%减阻水,液型,液型 0.25%减阻水 为液体体系/液型实体。,,,,fluid_type:0.25%减阻水
E00023,0.25%减阻水@时间窗 W004,液型时间窗,井 红页L1HF-段 1-时间窗 W004 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:4:0.25%减阻水
E00024,"施工泵压变化 起51.85→止69.5，变化17.65，均值65.8426，范围[45.04, 91.04]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:4
E00025,"排量变化 起2.09→止20.02，变化17.93，均值9.5403，范围[1.86, 20.23]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:4
E00026,"砂比变化 起3.3→止3，变化-0.3，均值3.0176，范围[3, 3.3]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:4
E00027,时间窗 W005,时间窗,井 红页L1HF-段 1 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:1:5
E00028,0.12%减阻水@时间窗 W005,液型时间窗,井 红页L1HF-段 1-时间窗 W005 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:5:0.12%减阻水
E00029,"施工泵压变化 起69.38→止70.85，变化1.47，均值70.7737，范围[67.17, 73.02]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:5
E00030,"排量变化 起20.02→止21，变化0.98，均值20.6092，范围[19.95, 21]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:5
E00031,"砂比变化 起3→止0.4，变化-2.6，均值6.3691，范围[0.4, 9.2]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:5
E00032,时间窗 W006,时间窗,井 红页L1HF-段 1 中使用液型 0.18%减阻水 的连续时间窗。,,,,time_window:红页L1HF:1:6
E00033,液型 0.18%减阻水,液型,液型 0.18%减阻水 为液体体系/液型实体。,,,,fluid_type:0.18%减阻水
E00034,0.18%减阻水@时间窗 W006,液型时间窗,井 红页L1HF-段 1-时间窗 W006 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:6:0.18%减阻水
E00035,"施工泵压变化 起70.84→止70.03，变化-0.81，均值70.3842，范围[69, 71.23]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:6
E00036,"排量变化 起20.99→止21，变化0.01，均值20.997，范围[20.99, 21]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:6
E00037,"砂比变化 起3.8→止0.7，变化-3.1，均值7.93，范围[0.7, 9.1]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:6
E00038,时间窗 W007,时间窗,井 红页L1HF-段 1 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:1:7
E00039,0.12%减阻水@时间窗 W007,液型时间窗,井 红页L1HF-段 1-时间窗 W007 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:7:0.12%减阻水
E00040,"施工泵压变化 起70.09→止39.47，变化-30.62，均值65.0296，范围[39.47, 70.09]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:7
E00041,"排量变化 起21→止2.32，变化-18.68，均值19.1022，范围[2.32, 21]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:7
E00042,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:7
E00043,时间窗 W008,时间窗,井 红页L1HF-段 1 中使用液型 0 的连续时间窗。,,,,time_window:红页L1HF:1:8
E00044,液型 0,液型,液型 0 为液体体系/液型实体。,,,,fluid_type:0
E00045,0@时间窗 W008,液型时间窗,井 红页L1HF-段 1-时间窗 W008 对应的液型使用实例。,,,,fluid_usage:红页L1HF:1:8:0
E00046,"施工泵压变化 起36.53→止0，变化-36.53，均值23.6607，范围[0, 36.66]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:1:8
E00047,"排量变化 起0→止0，变化0，均值0.0001，范围[0, 0.01]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:1:8
E00048,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:1:8
E00049,段 10,压裂段,井 红页L1HF 的第 10 段。,,,,segment:红页L1HF:10
E00050,时间窗 W001,时间窗,井 红页L1HF-段 10 中使用液型 0 的连续时间窗。,,,,time_window:红页L1HF:10:1
E00051,0@时间窗 W001,液型时间窗,井 红页L1HF-段 10-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:10:1:0
E00052,"施工泵压变化 起10.83→止10.83，变化0，均值10.83，范围[10.83, 10.83]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:10:1
E00053,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:10:1
E00054,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:10:1
E00055,时间窗 W002,时间窗,井 红页L1HF-段 10 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:10:2
E00056,0.25%减阻水@时间窗 W002,液型时间窗,井 红页L1HF-段 10-时间窗 W002 对应的液型使用实例。,,,,fluid_usage:红页L1HF:10:2:0.25%减阻水
E00057,"施工泵压变化 起24.09→止76.53，变化52.44，均值60.5994，范围[24.09, 78.33]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:10:2
E00058,"排量变化 起0.1→止24，变化23.9，均值15.6749，范围[0.1, 24.12]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:10:2
E00059,"砂比变化 起1.8→止5，变化3.2，均值4.5444，范围[1.8, 5]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:10:2
E00060,时间窗 W003,时间窗,井 红页L1HF-段 10 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:10:3
E00061,0.12%减阻水@时间窗 W003,液型时间窗,井 红页L1HF-段 10-时间窗 W003 对应的液型使用实例。,,,,fluid_usage:红页L1HF:10:3:0.12%减阻水
E00062,"施工泵压变化 起76.69→止82.61，变化5.92，均值82.324，范围[62.09, 89.44]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:10:3
E00063,"排量变化 起24→止24.09，变化0.09，均值23.6797，范围[17.73, 24.15]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:10:3
E00064,"砂比变化 起5→止13.1，变化8.1，均值9.4258，范围[0.1, 13.2]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:10:3
E00065,时间窗 W004,时间窗,井 红页L1HF-段 10 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:10:4
E00066,0.25%减阻水@时间窗 W004,液型时间窗,井 红页L1HF-段 10-时间窗 W004 对应的液型使用实例。,,,,fluid_usage:红页L1HF:10:4:0.25%减阻水
E00067,"施工泵压变化 起82.54→止81.92，变化-0.62，均值82.2841，范围[81.92, 82.61]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:10:4
E00068,"排量变化 起24.09→止24.09，变化0，均值24.09，范围[24.09, 24.09]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:10:4
E00069,"砂比变化 起13.1→止0.7，变化-12.4，均值11.9727，范围[0.7, 13.1]",施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:10:4
E00070,时间窗 W005,时间窗,井 红页L1HF-段 10 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:10:5
E00071,0.12%减阻水@时间窗 W005,液型时间窗,井 红页L1HF-段 10-时间窗 W005 对应的液型使用实例。,,,,fluid_usage:红页L1HF:10:5:0.12%减阻水
E00072,"施工泵压变化 起81.89→止0，变化-81.89，均值39.1795，范围[0, 81.91]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:10:5
E00073,"排量变化 起24.09→止0，变化-24.09，均值1.741，范围[0, 24.09]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:10:5
E00074,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:10:5
E00075,段 11,压裂段,井 红页L1HF 的第 11 段。,,,,segment:红页L1HF:11
E00076,时间窗 W001,时间窗,井 红页L1HF-段 11 中使用液型 0 的连续时间窗。,,,,time_window:红页L1HF:11:1
E00077,0@时间窗 W001,液型时间窗,井 红页L1HF-段 11-时间窗 W001 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:1:0
E00078,"施工泵压变化 起21.72→止21.72，变化0，均值21.72，范围[21.72, 21.72]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:1
E00079,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:1
E00080,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:1
E00081,时间窗 W002,时间窗,井 红页L1HF-段 11 中使用液型 0.12%减阻水 的连续时间窗。,,,,time_window:红页L1HF:11:2
E00082,0.12%减阻水@时间窗 W002,液型时间窗,井 红页L1HF-段 11-时间窗 W002 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:2:0.12%减阻水
E00083,"施工泵压变化 起26.17→止33.46，变化7.29，均值31.5083，范围[26.17, 33.46]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:2
E00084,"排量变化 起0.08→止1.99，变化1.91，均值1.7777，范围[0.08, 1.99]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:2
E00085,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:2
E00086,时间窗 W003,时间窗,井 红页L1HF-段 11 中使用液型 15%HCl 的连续时间窗。,,,,time_window:红页L1HF:11:3
E00087,15%HCl@时间窗 W003,液型时间窗,井 红页L1HF-段 11-时间窗 W003 对应的液型使用实例。,,,,fluid_usage:红页L1HF:11:3:15%HCl
E00088,"施工泵压变化 起33.49→止34.32，变化0.83，均值33.9907，范围[33.49, 34.32]",施工特征,该时间窗内的施工泵压变化特征。,,,,pressure_feature:红页L1HF:11:3
E00089,"排量变化 起1.99→止1.99，变化0，均值1.99，范围[1.99, 1.99]",施工特征,该时间窗内的排量变化特征。,,,,flow_feature:红页L1HF:11:3
E00090,砂比变化：0,施工特征,该时间窗内的砂比变化特征。,,,,sand_feature:红页L1HF:11:3
E00091,时间窗 W004,时间窗,井 红页L1HF-段 11 中使用液型 0.25%减阻水 的连续时间窗。,,,,time_window:红页L1HF:11:4
