entity_id,entity_name,entity_type,description,image_path,audio_path,video_path,source_node_id,raw_type
E0001,井号 红页L1HF,井,井号 红页L1HF 为井实体。,,,,well:红页L1HF,well
E0002,井号时间 2024-01-04 14:21:40,时间点,井号时间 2024-01-04 14:21:40 为时间点实体。,,,,well_time:红页L1HF,time
E0003,段号 1,压裂段,段号 1 为压裂段实体。,,,,segment:红页L1HF:1,segment
E0004,段号时间 2024-01-04 14:21:40,时间点,段号时间 2024-01-04 14:21:40 为时间点实体。,,,,segment_time:红页L1HF:1,time
E0005,砂比平均值: 6.5207,施工参数,砂比平均值: 6.5207 为施工参数特征。,,,,segment_stats:红页L1HF:1:砂比:mean,stat
E0006,砂比方差: 3.7453,施工参数,砂比方差: 3.7453 为施工参数特征。,,,,segment_stats:红页L1HF:1:砂比:var,stat
E0007,排量平均值: 11.0978,施工参数,排量平均值: 11.0978 为施工参数特征。,,,,segment_stats:红页L1HF:1:排量:mean,stat
E0008,排量方差: 86.5513,施工参数,排量方差: 86.5513 为施工参数特征。,,,,segment_stats:红页L1HF:1:排量:var,stat
E0009,施工泵压平均值: 57.1497,施工参数,施工泵压平均值: 57.1497 为施工参数特征。,,,,segment_stats:红页L1HF:1:施工泵压:mean,stat
E0010,施工泵压方差: 415.1877,施工参数,施工泵压方差: 415.1877 为施工参数特征。,,,,segment_stats:红页L1HF:1:施工泵压:var,stat
E0011,施工情况 加砂前,施工阶段,施工情况 加砂前 为施工阶段实体。,,,,condition:红页L1HF:1:加砂前,condition
E0012,施工时间 2024-01-04 14:21:40,时间点,施工时间 2024-01-04 14:21:40 为时间点实体。,,,,condition_time:红页L1HF:1:加砂前,time
E0013,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:砂比:mean,stat
E0014,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:砂比:var,stat
E0015,排量平均值: 6.455,施工参数,排量平均值: 6.455 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:排量:mean,stat
E0016,排量方差: 36.4102,施工参数,排量方差: 36.4102 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:排量:var,stat
E0017,施工泵压平均值: 61.8049,施工参数,施工泵压平均值: 61.8049 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:施工泵压:mean,stat
E0018,施工泵压方差: 228.6507,施工参数,施工泵压方差: 228.6507 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂前:施工泵压:var,stat
E0019,施工情况 加砂中,施工阶段,施工情况 加砂中 为施工阶段实体。,,,,condition:红页L1HF:1:加砂中,condition
E0020,施工时间 2024-01-04 15:06:20,时间点,施工时间 2024-01-04 15:06:20 为时间点实体。,,,,condition_time:红页L1HF:1:加砂中,time
E0021,砂比平均值: 6.5207,施工参数,砂比平均值: 6.5207 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:砂比:mean,stat
E0022,砂比方差: 3.7453,施工参数,砂比方差: 3.7453 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:砂比:var,stat
E0023,排量平均值: 20.6746,施工参数,排量平均值: 20.6746 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:排量:mean,stat
E0024,排量方差: 0.091,施工参数,排量方差: 0.091 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:排量:var,stat
E0025,施工泵压平均值: 70.7477,施工参数,施工泵压平均值: 70.7477 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:施工泵压:mean,stat
E0026,施工泵压方差: 1.514,施工参数,施工泵压方差: 1.514 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂中:施工泵压:var,stat
E0027,工况 主缝延伸,工况事件,工况 主缝延伸 为工况事件实体。,,,,worktype:红页L1HF:1:加砂中:主缝延伸,worktype
E0028,工况时间 2024-01-04 15:32:30,时间点,工况时间 2024-01-04 15:32:30 为时间点实体。,,,,worktype_time:红页L1HF:1:加砂中:主缝延伸,time
E0029,砂比平均值: 7.7158,施工参数,砂比平均值: 7.7158 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:mean,stat
E0030,砂比方差: 1.8924,施工参数,砂比方差: 1.8924 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:砂比:var,stat
E0031,排量平均值: 20.9446,施工参数,排量平均值: 20.9446 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:mean,stat
E0032,排量方差: 0.0213,施工参数,排量方差: 0.0213 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:排量:var,stat
E0033,施工泵压平均值: 70.2212,施工参数,施工泵压平均值: 70.2212 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:mean,stat
E0034,施工泵压方差: 0.8402,施工参数,施工泵压方差: 0.8402 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂中:主缝延伸:施工泵压:var,stat
E0035,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:1:加砂中:主缝延伸,suggestion
E0036,施工情况 加砂后,施工阶段,施工情况 加砂后 为施工阶段实体。,,,,condition:红页L1HF:1:加砂后,condition
E0037,施工时间 2024-01-04 15:54:20,时间点,施工时间 2024-01-04 15:54:20 为时间点实体。,,,,condition_time:红页L1HF:1:加砂后,time
E0038,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:砂比:mean,stat
E0039,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:砂比:var,stat
E0040,排量平均值: 3.0861,施工参数,排量平均值: 3.0861 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:排量:mean,stat
E0041,排量方差: 53.5988,施工参数,排量方差: 53.5988 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:排量:var,stat
E0042,施工泵压平均值: 30.3825,施工参数,施工泵压平均值: 30.3825 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:施工泵压:mean,stat
E0043,施工泵压方差: 267.4653,施工参数,施工泵压方差: 267.4653 为施工参数特征。,,,,condition_stats:红页L1HF:1:加砂后:施工泵压:var,stat
E0044,工况 主缝延伸,工况事件,工况 主缝延伸 为工况事件实体。,,,,worktype:红页L1HF:1:加砂后:主缝延伸,worktype
E0045,工况时间 2024-01-04 15:54:20,时间点,工况时间 2024-01-04 15:54:20 为时间点实体。,,,,worktype_time:红页L1HF:1:加砂后:主缝延伸,time
E0046,砂比平均值: 无数据,施工参数,砂比平均值: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:mean,stat
E0047,砂比方差: 无数据,施工参数,砂比方差: 无数据 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:砂比:var,stat
E0048,排量平均值: 20.9975,施工参数,排量平均值: 20.9975 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:mean,stat
E0049,排量方差: 0.0,施工参数,排量方差: 0.0 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:排量:var,stat
E0050,施工泵压平均值: 70.265,施工参数,施工泵压平均值: 70.265 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:mean,stat
E0051,施工泵压方差: 0.0051,施工参数,施工泵压方差: 0.0051 为施工参数特征。,,,,worktype_stats:红页L1HF:1:加砂后:主缝延伸:施工泵压:var,stat
E0052,当前建议: 保持当前措施,处置建议,当前建议: 保持当前措施 为处置建议实体。,,,,suggestion:红页L1HF:1:加砂后:主缝延伸,suggestion
E0053,段号 10,压裂段,段号 10 为压裂段实体。,,,,segment:红页L1HF:10,segment
E0054,段号时间 2024-01-09 09:59:00,时间点,段号时间 2024-01-09 09:59:00 为时间点实体。,,,,segment_time:红页L1HF:10,time
E0055,砂比平均值: 9.3981,施工参数,砂比平均值: 9.3981 为施工参数特征。,,,,segment_stats:红页L1HF:10:砂比:mean,stat
E0056,砂比方差: 6.6821,施工参数,砂比方差: 6.6821 为施工参数特征。,,,,segment_stats:红页L1HF:10:砂比:var,stat
