id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id
1,井号 红页L1HF,井号时间,井号时间 2024-01-04 14:21:40,E0001,E0002,well:红页L1HF,well_time:红页L1HF
2,井号 红页L1HF,段号,段号 1,E0001,E0003,well:红页L1HF,segment:红页L1HF:1
3,段号 1,段号时间,段号时间 2024-01-04 14:21:40,E0003,E0004,segment:红页L1HF:1,segment_time:红页L1HF:1
4,段号 1,统计量,砂比平均值: 6.5207,E0003,E0005,segment:红页L1HF:1,segment_stats:红页L1HF:1:砂比:mean
5,段号 1,统计量,砂比方差: 3.7453,E0003,E0006,segment:红页L1HF:1,segment_stats:红页L1HF:1:砂比:var
6,段号 1,统计量,排量平均值: 11.0978,E0003,E0007,segment:红页L1HF:1,segment_stats:红页L1HF:1:排量:mean
7,段号 1,统计量,排量方差: 86.5513,E0003,E0008,segment:红页L1HF:1,segment_stats:红页L1HF:1:排量:var
8,段号 1,统计量,施工泵压平均值: 57.1497,E0003,E0009,segment:红页L1HF:1,segment_stats:红页L1HF:1:施工泵压:mean
9,段号 1,统计量,施工泵压方差: 415.1877,E0003,E0010,segment:红页L1HF:1,segment_stats:红页L1HF:1:施工泵压:var
10,段号 1,施工情况,施工情况 加砂前,E0003,E0011,segment:红页L1HF:1,condition:红页L1HF:1:加砂前
11,施工情况 加砂前,施工时间,施工时间 2024-01-04 14:21:40,E0011,E0012,condition:红页L1HF:1:加砂前,condition_time:红页L1HF:1:加砂前
12,施工情况 加砂前,统计量,砂比平均值: 无数据,E0011,E0013,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:砂比:mean
13,施工情况 加砂前,统计量,砂比方差: 无数据,E0011,E0014,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:砂比:var
14,施工情况 加砂前,统计量,排量平均值: 6.455,E0011,E0015,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:排量:mean
15,施工情况 加砂前,统计量,排量方差: 36.4102,E0011,E0016,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:排量:var
16,施工情况 加砂前,统计量,施工泵压平均值: 61.8049,E0011,E0017,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:施工泵压:mean
17,施工情况 加砂前,统计量,施工泵压方差: 228.6507,E0011,E0018,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:施工泵压:var
18,段号 1,施工情况,施工情况 加砂中,E0003,E0019,segment:红页L1HF:1,condition:红页L1HF:1:加砂中
19,施工情况 加砂中,施工时间,施工时间 2024-01-04 15:06:20,E0019,E0020,condition:红页L1HF:1:加砂中,condition_time:红页L1HF:1:加砂中
20,施工情况 加砂中,统计量,砂比平均值: 6.5207,E0019,E0021,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:砂比:mean
21,施工情况 加砂中,统计量,砂比方差: 3.7453,E0019,E0022,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:砂比:var
22,施工情况 加砂中,统计量,排量平均值: 20.6746,E0019,E0023,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:排量:mean
23,施工情况 加砂中,统计量,排量方差: 0.091,E0019,E0024,condition:红页L1HF:1:加砂中,condition_stats:红页L1HF:1:加砂中:排量:var
