id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id
1,井 红页L1HF,包含段,段 1,E00001,E00002,well:红页L1HF,segment:红页L1HF:1
2,段 1,包含时间窗,时间窗 W001,E00002,E00003,segment:红页L1HF:1,time_window:红页L1HF:1:1
3,时间窗 W001,采用液型,未标注液型@时间窗 W001,E00003,E00005,time_window:红页L1HF:1:1,fluid_usage:红页L1HF:1:1:未标注液型
4,未标注液型@时间窗 W001,液型类别,液型 未标注液型,E00005,E00004,fluid_usage:红页L1HF:1:1:未标注液型,fluid_type:未标注液型
5,未标注液型@时间窗 W001,开始时间,2024-01-04 14:21:40,E00005,,fluid_usage:红页L1HF:1:1:未标注液型,
6,未标注液型@时间窗 W001,结束时间,2024-01-04 14:21:40,E00005,,fluid_usage:红页L1HF:1:1:未标注液型,
7,未标注液型@时间窗 W001,持续时间,0秒,E00005,,fluid_usage:红页L1HF:1:1:未标注液型,
8,未标注液型@时间窗 W001,泵压特征,"施工泵压变化 起5.07→止5.07，变化0，均值5.07，范围[5.07, 5.07]",E00005,E00006,fluid_usage:红页L1HF:1:1:未标注液型,pressure_feature:红页L1HF:1:1
9,未标注液型@时间窗 W001,排量特征,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",E00005,E00007,fluid_usage:红页L1HF:1:1:未标注液型,flow_feature:红页L1HF:1:1
10,未标注液型@时间窗 W001,砂比特征,砂比变化：0,E00005,E00008,fluid_usage:红页L1HF:1:1:未标注液型,sand_feature:红页L1HF:1:1
11,时间窗 W001,施工特征,"施工泵压变化 起5.07→止5.07，变化0，均值5.07，范围[5.07, 5.07]",E00003,E00006,time_window:红页L1HF:1:1,pressure_feature:红页L1HF:1:1
12,时间窗 W001,施工特征,"排量变化 起0→止0，变化0，均值0，范围[0, 0]",E00003,E00007,time_window:红页L1HF:1:1,flow_feature:红页L1HF:1:1
13,时间窗 W001,砂比特征,砂比变化：0,E00003,E00008,time_window:红页L1HF:1:1,sand_feature:红页L1HF:1:1
14,段 1,包含时间窗,时间窗 W002,E00002,E00009,segment:红页L1HF:1,time_window:红页L1HF:1:2
