id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id,derived
1,井号 红页L1HF,开始时间,井号时间 2024-01-04 14:21:40,E0001,E0002,well:红页L1HF,well_time:红页L1HF,no
2,井号 红页L1HF,包含段,段号 1,E0001,E0003,well:红页L1HF,segment:红页L1HF:1,no
3,段号 1,开始时间,段号时间 2024-01-04 14:21:40,E0003,E0004,segment:红页L1HF:1,segment_time:红页L1HF:1,no
4,段号 1,施工特征,砂比平均值: 6.5207,E0003,E0005,segment:红页L1HF:1,segment_stats:红页L1HF:1:砂比:mean,no
5,段号 1,施工特征,砂比方差: 3.7453,E0003,E0006,segment:红页L1HF:1,segment_stats:红页L1HF:1:砂比:var,no
6,段号 1,施工特征,排量平均值: 11.0978,E0003,E0007,segment:红页L1HF:1,segment_stats:红页L1HF:1:排量:mean,no
7,段号 1,施工特征,排量方差: 86.5513,E0003,E0008,segment:红页L1HF:1,segment_stats:红页L1HF:1:排量:var,no
8,段号 1,施工特征,施工泵压平均值: 57.1497,E0003,E0009,segment:红页L1HF:1,segment_stats:红页L1HF:1:施工泵压:mean,no
9,段号 1,施工特征,施工泵压方差: 415.1877,E0003,E0010,segment:红页L1HF:1,segment_stats:红页L1HF:1:施工泵压:var,no
10,段号 1,包含施工阶段,施工情况 加砂前,E0003,E0011,segment:红页L1HF:1,condition:红页L1HF:1:加砂前,no
11,施工情况 加砂前,开始时间,施工时间 2024-01-04 14:21:40,E0011,E0012,condition:红页L1HF:1:加砂前,condition_time:红页L1HF:1:加砂前,no
12,施工情况 加砂前,施工特征,砂比平均值: 无数据,E0011,E0013,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:砂比:mean,no
13,施工情况 加砂前,施工特征,砂比方差: 无数据,E0011,E0014,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:砂比:var,no
14,施工情况 加砂前,施工特征,排量平均值: 6.455,E0011,E0015,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:排量:mean,no
15,施工情况 加砂前,施工特征,排量方差: 36.4102,E0011,E0016,condition:红页L1HF:1:加砂前,condition_stats:红页L1HF:1:加砂前:排量:var,no
