sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,posterior_half_length_m,posterior_cluster_factor,posterior_sand_transport_factor
0,calibration,1.0,0,0.16666666666666666,0.027389721294355313,0.026160156752928942,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.679175098056537e-05,1.0322079934297828,0.9961550595743509
0,calibration,1.0,1,0.16666666666666666,0.3396892198122012,0.33956771497560895,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.739662526290479e-06,0.9584385870467003,1.048792018963478
0,calibration,1.0,2,0.16666666666666666,0.02706923863452449,0.2643635727105057,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.3386345402375784e-05,0.9775448124326293,0.9870281523645018
0,calibration,1.0,3,0.16666666666666666,0.34776418130747416,0.31914873588107157,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.40823923448731e-06,0.9074925143132412,1.0128692310670782
0,calibration,1.0,4,0.16666666666666666,0.23085437101622622,0.02541062319006932,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.6279622775387354e-05,1.002633456005003,0.9987405812412973
0,calibration,1.0,5,0.16666666666666666,0.0272332679352187,0.025349196489815456,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.657707025248071e-05,1.0002097269879757,0.9341207072055092
1,calibration,75.0,0,0.16666666666666666,0.030752342874748238,0.03096260310833186,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0012431027018739184,1.0698714079553786,0.9868834757087619
1,calibration,75.0,1,0.16666666666666666,0.4096016338081662,0.37023639178948264,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0002664104489286189,0.9087476754644831,1.1155043653960706
1,calibration,75.0,2,0.16666666666666666,0.11574852273501153,0.1704421098052607,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0006308455968695826,0.9837484943292029,0.975256143428893
1,calibration,75.0,3,0.16666666666666666,0.38411712770214407,0.36977195676440583,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.00026643488002551195,0.9077402142864649,1.0379335346295437
1,calibration,75.0,4,0.16666666666666666,0.029771756649677614,0.029838940320690018,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0012180278903121187,1.0310447406859864,1.1230016371487166
1,calibration,75.0,5,0.16666666666666666,0.030008616230252416,0.028747998211828923,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0009277897065823165,0.9933486927819603,0.9051324997518239
2,calibration,150.0,0,0.16666666666666666,0.029834958117488614,0.027955531821826727,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0021218612097315902,1.0639158501273587,0.9639518391268986
2,calibration,150.0,1,0.16666666666666666,0.35900186954909036,0.3437025463010651,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.00046500534517062466,0.9210942908428122,1.1506704117333924
2,calibration,150.0,2,0.16666666666666666,0.19734669990230388,0.23716943272272584,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0008822905283542739,0.9812638920168257,0.9874243678817748
2,calibration,150.0,3,0.16666666666666666,0.3575125509854065,0.33794638648423136,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0004606838901353496,0.9074046252104083,1.08192893324483
2,calibration,150.0,4,0.16666666666666666,0.028546316393095312,0.026715748726683544,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0020648695194748433,1.016732884907826,1.1692337452360781
2,calibration,150.0,5,0.16666666666666666,0.02775760505261521,0.02651035394346735,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.002072892984406335,1.0089160861865596,0.8555656706927527
3,calibration,226.0,0,0.16666666666666666,0.025396525984772683,0.029617663650917718,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0029085577140282246,1.0633752847338191,0.9983245768745495
3,calibration,226.0,1,0.16666666666666666,0.3112616384108882,0.37678983495907464,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0006575515069976809,0.9443427498468239,1.1837124755453177
3,calibration,226.0,2,0.16666666666666666,0.31650889768824064,0.17062350312885,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0015315579359472737,0.981865536056133,0.9658621224855175
3,calibration,226.0,3,0.16666666666666666,0.29858131752406714,0.36738003511957573,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.000647523386050586,0.9233243124840366,1.0818918635803654
3,calibration,226.0,4,0.16666666666666666,0.024246927421719938,0.02772786404797603,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.002742027843572846,0.9955250243434893,1.191480306253879
3,calibration,226.0,5,0.16666666666666666,0.024004692970311405,0.027861099093605998,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.002822365322636114,1.0003086175483134,0.8308256467101363
4,calibration,301.0,0,0.1662492927720709,0.026923256140540863,0.06760156855657715,0.16666666666666666,0.006890461329343772,0.03534252206736093,5.447267577348855,1.0528995144450135,1.0362737192428593
