sequence_index,source_step,time_s,phase,observed_bottomhole_pressure_mpa,prior_bottomhole_pressure_mpa,posterior_bottomhole_pressure_mpa,prior_liquid_tvd,posterior_liquid_tvd,prior_sand_tvd,posterior_sand_tvd,prior_bhp_relative_error,posterior_bhp_relative_error,mean_abs_kalman_gain,posterior_leakoff_fraction,posterior_rate_conservation_error,prior_eprime_gpa,prior_leakoff_m_sqrt_s,prior_viscosity_pa_s,prior_min_stress_mpa,prior_factor_c1,prior_factor_c2,prior_factor_c3,prior_factor_c4,prior_factor_c5,prior_factor_c6,posterior_eprime_gpa,posterior_leakoff_m_sqrt_s,posterior_viscosity_pa_s,posterior_min_stress_mpa,posterior_factor_c1,posterior_factor_c2,posterior_factor_c3,posterior_factor_c4,posterior_factor_c5,posterior_factor_c6,posterior_all_observations_within_15_percent,step_compute_ms
0,0,1.0,calibration,75.16189975232068,58.74105411912037,67.36744336340116,0.41830777213590153,0.4230800235671862,0.0,0.0,0.21847299878411205,0.103702226987402,0.1796252286246807,0.8500000000000002,0.0,32.924122357390544,1.035997448610567e-05,0.10012988068293263,58.74099110408293,1.0023084779143905,0.9611705797229411,0.9905806299556315,0.9807146133151424,0.9850530703616837,0.9965831721847141,34.58023650218568,1.0359491263323704e-05,0.10402010330698458,67.36737415106374,1.0322079934297828,0.9584385870467003,0.9775448124326293,0.9074925143132412,1.002633456005003,1.0002097269879757,False,36.06339999532793
1,75,75.0,calibration,88.8062489345766,67.35925046895913,74.44942328909684,0.4603854281769769,0.4104504583591492,0.0,0.0,0.24150325819320928,0.16166458799601371,0.14328562606587314,0.8499999999999999,1.6543612251060553e-16,34.585390351598186,1.0365899577499805e-05,0.10397715617845674,67.35910356611414,1.0314781119613001,0.9639332652976755,0.9900044563878353,0.9105114913174369,0.9985878300022745,1.0065324433270646,36.61701638374656,1.0198662232303382e-05,0.1123225068295784,74.44926224986776,1.0698714079553786,0.9087476754644831,0.9837484943292029,0.9077402142864649,1.0310447406859864,0.9933486927819603,False,36.71330000361195
2,150,150.0,calibration,88.16380358506939,74.489341871014,77.75783411805166,0.41386112043680084,0.4188183655080223,0.0,0.0,0.15510290116806127,0.11802995156597335,0.13714950961449135,0.85,0.0,36.59954239411372,1.0180629596888393e-05,0.11227335234414393,74.4891524851193,1.0700516917073952,0.9116158905465709,0.981641557912115,0.908268763227986,1.0238336527290368,0.9955459674966303,37.39631761184372,9.611645965494658e-06,0.1159407634729863,77.75763337272629,1.0639158501273587,0.9210942908428122,0.9812638920168257,0.9074046252104083,1.016732884907826,1.0089160861865596,False,39.12609999679262
3,226,226.0,calibration,88.41863062524698,77.77341316352828,79.57364602302646,0.42635185362319605,0.4147933732075003,0.0,0.0,0.12039563818667731,0.1000353040945528,0.11722010640693938,0.8500000000000002,0.0,37.40916330673369,9.611054182649505e-06,0.11576552394571027,77.77318312217842,1.0649208559247563,0.9335923517567328,0.9746901352767856,0.9000137027822797,1.0167161728720417,1.0065588576753448,37.44720055683365,9.147589019988502e-06,0.1174885753200204,79.57343605286931,1.0633752847338191,0.9443427498468239,0.981865536056133,0.9233243124840366,0.9955250243434893,1.0003086175483134,False,38.05669999564998
4,301,301.0,calibration,88.03863062524701,80.1672605963741,81.76795328480885,0.2832969512255734,0.14968271223634955,0.42619064050816885,0.2589063053635713,0.08940813791594363,0.07122642976048177,0.570007498664094,0.5803636791366319,0.0,37.439447023991704,9.135839544734684e-06,0.11776143684108052,79.57154107981584,1.0673464110472766,0.9511410604769749,0.9865682115410528,0.919740547722724,0.9924949928494218,0.9998875147549212,37.47629571786869,7.978778719838889e-06,0.12263095652508788,81.05254725731584,1.0528995144450135,0.9563786223078269,0.9845989411079937,0.9212711038357541,0.9980977183823416,0.9873240678063695,False,38.09280000132276
5,376,376.0,calibration,87.86449542435908,82.3986045667556,83.09723913349991,0.06259842691541624,0.04005994409370042,0.10577608527507433,0.06119789128922598,0.06220818581162818,0.054256913077742636,0.44881054159192113,0.4164376203381227,0.0,37.34146666104081,7.949143463040175e-06,0.12281880511652066,81.0643764706256,1.0556326274407144,0.9548287656321264,0.9849111092703927,0.9285708046022678,1.0024600780392354,0.982231734321035,37.3279855538795,7.173976411933128e-06,0.12437324181395729,81.69383198313302,1.0327317550568973,0.9342491253270732,0.9654479943251342,0.9204573011027629,0.9955419946539286,0.9791085624345672,True,36.147999999229796
6,451,451.0,calibration,87.61380358506933,83.46925088470843,83.93517664996457,0.034672871512049036,0.03201575105160143,0.05008195541241303,0.04590305701118157,0.04730479137727102,0.041986842079432915,0.44941027829679964,0.38206413500495967,1.5626369552149962e-16,37.34847388528897,7.171289500130532e-06,0.12421897299554943,81.6975479675282,1.0307615676788155,0.9351993619944244,0.9715325455026961,0.9198204612058678,0.9957975984624601,0.9746605263452506,37.669696484005726,6.95670954936842e-06,0.12383297375544784,82.13350349137552,1.0463595720447212,0.9375069737388646,0.9736521500767441,0.925889772855688,1.000694573972169,0.9835871093138601,True,35.7506000000285
7,526,526.0,calibration,87.68380358506934,84.19661069549974,84.57068037627354,0.03605445935522138,0.03517401533044992,0.04569934366038629,0.04302811990763923,0.03977009147631676,0.03550397087616641,0.40198956486952736,0.3672577511836171,1.3259355341625134e-16,37.67374005578897,6.958495284797091e-06,0.12374776579070473,82.13225766074282,1.046555509366731,0.9420786236268998,0.9756058327697396,0.9231619440561522,0.9921977827569604,0.9907540126443577,38.22497771790671,6.830279635511267e-06,0.12623289677496422,82.45826959233719,1.0509946613076453,0.94243322385426,0.9715487307319216,0.9129333507019529,0.9902596705207477,0.9902520452213567,True,39.6305999965989
8,601,601.0,calibration,87.67449542435908,84.78353503141807,85.15739467414537,0.0339178300112952,0.035904417430059704,0.0425464573786129,0.03883174350801841,0.03297378991402555,0.028709612048869286,0.385723808468641,0.35209062520246803,2.38151746687696e-16,38.24061235564705,6.8262569931618e-06,0.12614534439370637,82.46637984749911,1.048463656052045,0.9553437740298211,0.9644187044952749,0.9079549372290479,0.979836112651258,0.9890816085629869,39.36844505232698,6.572637701257787e-06,0.12772540070683144,82.74861753065869,1.0624065669915845,0.9767379312114576,0.9615864269855678,0.8877927427936425,0.9840782754301379,1.00253603889239,True,36.1341000025277
9,677,677.0,calibration,87.314495424359,85.29585288100625,85.48023572118207,0.03613134900666032,0.035866379222622036,0.04093508018077856,0.04045836119394511,0.02311921443904467,0.021007505045550594,0.3626930402357135,0.35210532664147315,2.2057017184531686e-16,39.386394955640434,6.580204063082122e-06,0.1279069853392653,82.71616216735232,1.0639506055527497,0.9758739857315243,0.960181585039041,0.8893714322230106,0.9885252526899099,1.005313621345983,39.52951541336631,6.539335069832954e-06,0.12783817850225906,82.88837695751869,1.0695295927941586,0.973477052916908,0.9587459193047212,0.888705439224322,0.9908621642032082,1.00452084836902,True,40.360899998631794
