sequence_index,source_step,time_s,phase,current_total_rate_m3_s,observed_bottomhole_pressure_mpa,prior_bottomhole_pressure_mpa,posterior_bottomhole_pressure_mpa,prior_pkn_bottomhole_pressure_mpa,posterior_pkn_bottomhole_pressure_mpa,prior_near_wellbore_pressure_bias_mpa,posterior_near_wellbore_pressure_bias_mpa,prior_liquid_tvd,posterior_liquid_tvd,prior_sand_tvd,posterior_sand_tvd,prior_bhp_relative_error,posterior_bhp_relative_error,mean_abs_kalman_gain,mean_covariance_inflation,observation_memory_mode,assimilation_iterations,posterior_leakoff_fraction,posterior_rate_conservation_error,prior_total_half_length_m,posterior_total_half_length_m,prior_eprime_gpa,prior_leakoff_m_sqrt_s,prior_viscosity_pa_s,prior_min_stress_mpa,prior_factor_c1,prior_factor_c2,prior_factor_c3,prior_factor_c4,prior_factor_c5,prior_factor_c6,posterior_eprime_gpa,posterior_leakoff_m_sqrt_s,posterior_viscosity_pa_s,posterior_min_stress_mpa,posterior_factor_c1,posterior_factor_c2,posterior_factor_c3,posterior_factor_c4,posterior_factor_c5,posterior_factor_c6,posterior_all_observations_within_15_percent,step_compute_ms
0,0,1.0,calibration,1e-08,75.16189975232068,59.522167080243705,70.01461392912833,59.522167080243705,70.01461392912833,0.0,0.0,0.0,0.0,0.0,0.0,0.20808059300808301,0.06848264666212647,0.014957657022618169,1.012,liquid:instantaneous;sand:cumulative,1,0.49999999999999994,1.6543612251060553e-16,0.00019194689475152002,0.00019200258221374042,31.9430081986567,1.0072134636714129e-05,0.10002842537906853,59.5220744711041,1.0,1.0,1.0,1.0,1.0,1.0,32.4689879682961,9.985589607566121e-06,0.10152815107179414,70.01451982237083,1.0,1.0,1.0,1.0,1.0,1.0,True,450.12720000522677
1,75,75.0,calibration,1e-08,88.8062489345766,70.02351574815007,75.93361524636116,70.02351574815007,75.93361524636116,0.0,0.0,0.0,0.0,0.0,0.0,0.2115023820031373,0.14495189069069553,0.007377743017434629,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,1.6543612251060553e-16,0.0060714241607940506,0.006098326829406425,32.45210562155873,9.975158360443259e-06,0.10155191893264828,70.02329266195477,1.0,1.0,1.0,1.0,1.0,1.0,33.15920515822317,1.0004941912036926e-05,0.10149596061090045,75.93338830492112,1.0,1.0,1.0,1.0,1.0,1.0,True,447.6628999982495
2,150,150.0,calibration,1e-08,88.16380358506939,75.92922825907894,80.28271751928116,75.92922825907894,80.28271751928116,0.0,0.0,0.0,0.0,0.0,0.0,0.13877095620296473,0.08939140265408074,0.008032855105742377,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,1.6543612251060553e-16,0.010617242502570264,0.010656625703443267,33.14646323957994,9.999857968654921e-06,0.10148377637265425,75.92896765821885,1.0,1.0,1.0,1.0,1.0,1.0,33.95053700604367,9.989219915478244e-06,0.10203900053208413,80.28245158316491,1.0,1.0,1.0,1.0,1.0,1.0,True,622.3981000002823
3,226,226.0,calibration,1e-08,88.41863062524698,80.28239300425543,82.58097078297163,80.28239300425543,82.58097078297163,0.0,0.0,0.0,0.0,0.0,0.0,0.09201949366843437,0.06602296146179472,0.006301259262148682,1.012,liquid:instantaneous;sand:cumulative,1,0.5,1.6543612251060553e-16,0.014788223284855854,0.01480812734133335,33.93098171624515,9.986085937056801e-06,0.1021182251264251,80.28210443637329,1.0,1.0,1.0,1.0,1.0,1.0,34.292231501503416,1.0026151067840537e-05,0.10251369179187592,82.58067953482346,1.0,1.0,1.0,1.0,1.0,1.0,True,611.7327000029036
4,301,301.0,calibration,0.024998999999999997,88.03863062524701,84.71628713364402,85.46365020631224,84.71628713364402,85.46365020631224,0.0,0.0,0.0,0.0,0.037187164494156946,0.037187164493161215,0.0377373372121742,0.02924830157678917,0.005140615221705862,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,43.86699636079386,43.945490354629825,34.26765815559462,1.0037475686129537e-05,0.10257500910704553,82.59404253774215,1.0,1.0,1.0,1.0,1.0,1.0,34.7261023254936,1.00502876935165e-05,0.10302226600892175,83.31685491050492,1.0,1.0,1.0,1.0,1.0,1.0,True,786.5028999949573
5,376,376.0,calibration,0.024999,87.86449542435908,85.57437162721934,85.91467584551691,85.57437162721934,85.91467584551691,0.0,0.0,0.0,0.0,0.030552879668412677,0.030555344506409954,0.02606426846337799,0.022191211244372656,0.003883214633293419,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,79.44417932550027,79.5346154458101,34.76118802023957,1.0062247034980098e-05,0.10309707628596704,83.32424171051599,1.0,1.0,1.0,1.0,1.0,1.0,35.027732177258606,1.0068570077367754e-05,0.10329831714596667,83.6498703976868,1.0,1.0,1.0,1.0,1.0,1.0,True,693.3863000012934
6,451,451.0,calibration,0.025,87.61380358506933,85.99822105588159,86.28899806538415,85.99822105588159,86.28899806538415,0.0,0.0,0.0,0.0,0.02818015638399926,0.028181480813584875,0.018439817278553428,0.015120967992205183,0.003240465548947689,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,109.32431123564619,109.43800738416334,35.03001608345222,1.007971216030962e-05,0.10324757813047568,83.65383724754247,1.0,1.0,1.0,1.0,1.0,1.0,35.291110009781384,1.0090230732838609e-05,0.10347792697191159,83.92959430157548,1.0,1.0,1.0,1.0,1.0,1.0,True,591.1575999998604
7,526,526.0,calibration,0.025,87.68380358506934,86.35604929075399,86.56900296601897,86.35604929075399,86.56900296601897,0.0,0.0,0.0,0.0,0.036368634261754254,0.036365245595169154,0.015142526213831385,0.012713871587114832,0.0028817960888278325,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,136.60065536375373,136.6786772124897,35.25584069663074,1.0096494734855298e-05,0.10331663979834063,83.92895853491468,1.0,1.0,1.0,1.0,1.0,1.0,35.43924462381477,1.0105129031516609e-05,0.10355801899492399,84.13067896583503,1.0,1.0,1.0,1.0,1.0,1.0,True,619.8564000005717
8,601,601.0,calibration,0.025501,87.67449542435908,86.65634713899496,86.75921885943612,86.65634713899496,86.75921885943612,0.0,0.0,0.0,0.0,0.03859242473819928,0.03859126578974137,0.01161282172695849,0.010439484829571839,0.002682165200127613,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,162.14947871272824,162.20605208172137,35.40613505186225,1.0095001025194096e-05,0.10364791773397336,84.12292334474051,1.0,1.0,1.0,1.0,1.0,1.0,35.490963743994094,1.0098499249353695e-05,0.10371518966703519,84.22061100827231,1.0,1.0,1.0,1.0,1.0,1.0,True,646.9052000029478
9,677,677.0,calibration,0.024501,87.314495424359,86.76315341609538,86.79119925307211,86.76315341609538,86.79119925307211,0.0,0.0,0.0,0.0,0.03589394529272161,0.03589413087639874,0.0063144384627549935,0.005993233640572559,0.0024840025201601987,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,186.83764461657026,186.85166943279063,35.519182425854844,1.0092780759509253e-05,0.1037478668726653,84.217353701874,1.0,1.0,1.0,1.0,1.0,1.0,35.53928771123766,1.0093264578741699e-05,0.10376764032067716,84.24414970606074,1.0,1.0,1.0,1.0,1.0,1.0,True,651.1159000001498
