sequence_index,source_step,time_s,phase,current_total_rate_m3_s,observed_bottomhole_pressure_mpa,prior_bottomhole_pressure_mpa,posterior_bottomhole_pressure_mpa,prior_pkn_bottomhole_pressure_mpa,posterior_pkn_bottomhole_pressure_mpa,prior_near_wellbore_pressure_bias_mpa,posterior_near_wellbore_pressure_bias_mpa,prior_liquid_tvd,posterior_liquid_tvd,prior_sand_tvd,posterior_sand_tvd,prior_bhp_relative_error,posterior_bhp_relative_error,mean_abs_kalman_gain,mean_covariance_inflation,observation_memory_mode,assimilation_iterations,posterior_leakoff_fraction,posterior_rate_conservation_error,prior_total_half_length_m,posterior_total_half_length_m,prior_eprime_gpa,prior_leakoff_m_sqrt_s,prior_viscosity_pa_s,prior_min_stress_mpa,prior_fracture_toughness_pa_sqrt_m,prior_factor_c1,prior_factor_c2,prior_factor_c3,prior_factor_c4,prior_factor_c5,prior_factor_c6,posterior_eprime_gpa,posterior_leakoff_m_sqrt_s,posterior_viscosity_pa_s,posterior_min_stress_mpa,posterior_fracture_toughness_pa_sqrt_m,posterior_factor_c1,posterior_factor_c2,posterior_factor_c3,posterior_factor_c4,posterior_factor_c5,posterior_factor_c6,posterior_all_observations_within_15_percent,step_compute_ms
0,0,1.0,calibration,1e-08,88.18281367807967,59.8807383810743,69.90187204962982,59.8807383810743,69.90187204962982,0.0,0.0,0.0,0.0,0.0,0.0,0.3209477461257357,0.2073073070132043,0.006506341791660772,1.012,liquid:instantaneous;sand:cumulative,1,0.5,1.6543612251060553e-16,0.00019313428016470895,0.00019294876529967888,32.192878709089186,9.732851851263874e-06,0.09842563676994248,59.88064541338612,491461.5777148876,1.0,1.0,1.0,1.0,1.0,1.0,31.576094576287762,9.770894895795435e-06,0.09736313369534669,69.90178066602472,486953.3017094269,1.0,1.0,1.0,1.0,1.0,1.0,False,656.5358000007109
1,75,75.0,calibration,1e-08,89.25867847719175,69.88938733954136,78.44154475152955,69.88938733954136,78.44154475152955,0.0,0.0,0.0,0.0,0.0,0.0,0.21700176910640487,0.12118859376151644,0.008007141579969169,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,1.6543612251060553e-16,0.0061017946333252185,0.006089901882988335,31.56753466228047,9.784716775568144e-06,0.09737398712967252,69.88917067097962,486956.0536167087,1.0,1.0,1.0,1.0,1.0,1.0,31.282494332966788,9.80785454750281e-06,0.09769292760639962,78.44132943921106,483818.25432049116,1.0,1.0,1.0,1.0,1.0,1.0,True,575.5849999986822
2,150,150.0,calibration,1e-08,88.61764071825726,78.42711702043881,83.25792881079434,78.42711702043881,83.25792881079434,0.0,0.0,0.0,0.0,0.0,0.0,0.11499430153209854,0.060481320243032606,0.008260708727690448,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,1.6543612251060553e-16,0.010603046301287992,0.01059081730971466,31.297712378775106,9.817314060675897e-06,0.09772895123165465,78.42686958197197,484011.23771975894,1.0,1.0,1.0,1.0,1.0,1.0,30.969952046517445,9.776811556925082e-06,0.09735875711015037,83.2576836041889,482848.18017755373,1.0,1.0,1.0,1.0,1.0,1.0,True,497.2974999982398
3,226,226.0,calibration,1e-08,88.87246775843485,83.26069744114129,85.03596109676886,83.26069744114129,85.03596109676886,0.0,0.0,0.0,0.0,0.0,0.0,0.06314408116298707,0.04316867482620197,0.0055662855814116495,1.012,liquid:instantaneous;sand:cumulative,1,0.5,1.6543612251060553e-16,0.0147024131677355,0.014703206610509107,30.997772604895832,9.781385787731469e-06,0.09741736984619714,83.26043105468189,482574.6542563786,1.0,1.0,1.0,1.0,1.0,1.0,30.851861862220776,9.730915949441961e-06,0.09682893677051917,85.03569607076237,483867.95906615764,1.0,1.0,1.0,1.0,1.0,1.0,True,545.4930999985663
4,301,301.0,calibration,0.024998999999999997,88.49246775843484,86.95210626815597,87.34132383279074,86.95210626815597,87.34132383279074,0.0,0.0,0.0,0.0,0.03718716449700847,0.037187164496515296,0.01740669606461558,0.013008383140432683,0.004219972074488936,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,43.556097235640564,43.5924170930972,30.827244736429343,9.735164150502794e-06,0.09689656546397746,85.02098073012422,483660.2727642838,1.0,1.0,1.0,1.0,1.0,1.0,30.965396637443877,9.720319678645004e-06,0.09690610563635875,85.40328954858019,483908.74516664475,1.0,1.0,1.0,1.0,1.0,1.0,True,475.6067999987863
5,376,376.0,calibration,0.024999,88.31833255754691,87.43422611146988,87.56261958028288,87.43422611146988,87.56261958028288,0.0,0.0,0.0,0.0,0.03055327201458062,0.03055394787440434,0.010010452195765317,0.00855669435076363,0.003279948697835151,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,78.82242455672707,78.84201178609989,31.01666833265656,9.716925913217124e-06,0.09697064583626713,85.40179515169206,483492.971342352,1.0,1.0,1.0,1.0,1.0,1.0,31.05659314204375,9.710158720218248e-06,0.0969563162133446,85.5282048804698,483724.8912795048,1.0,1.0,1.0,1.0,1.0,1.0,True,520.9347999989404
6,451,451.0,calibration,0.025,88.06764071825725,87.63181096785478,87.7139237987632,87.63181096785478,87.7139237987632,0.0,0.0,0.0,0.0,0.028178634736573865,0.028178843359428357,0.004948806926675447,0.00401642324705445,0.0026535423772882432,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,108.33399331298128,108.34772497188703,31.011639681587273,9.709931903073514e-06,0.09693433872870488,85.52834757790184,483711.6110588819,1.0,1.0,1.0,1.0,1.0,1.0,31.04271733572545,9.705981570048477e-06,0.09695766759177725,85.60870639696192,483865.5336588888,1.0,1.0,1.0,1.0,1.0,1.0,True,485.009900003206
7,526,526.0,calibration,0.025,88.13764071825726,87.7808811668476,87.85238095565605,87.7808811668476,87.85238095565605,0.0,0.0,0.0,0.0,0.03637494185073051,0.03637409264131325,0.0040477547220724676,0.00323652596412334,0.002336584297525477,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,135.18869639909082,135.20763375286455,31.027722718700993,9.713338860101163e-06,0.09702241462657775,85.61345626237875,484080.5016765766,1.0,1.0,1.0,1.0,1.0,1.0,31.052372631027087,9.711735401976513e-06,0.09702976940217212,85.6835506284351,484102.2556861661,1.0,1.0,1.0,1.0,1.0,1.0,True,503.6843999987468
8,601,601.0,calibration,0.025501,88.12833255754691,87.94470198863335,87.9545655557886,87.94470198863335,87.9545655557886,0.0,0.0,0.0,0.0,0.03860261228542905,0.03860253281378839,0.002083672339921423,0.0019717495692414123,0.002184024421151898,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,160.4578867417509,160.46214916571944,31.042169797309928,9.70864870989304e-06,0.09699717179162098,85.69077188408481,484271.33074594755,1.0,1.0,1.0,1.0,1.0,1.0,31.045188913988195,9.708335789357306e-06,0.0969938956305411,85.70047480484993,484269.1652840392,1.0,1.0,1.0,1.0,1.0,1.0,True,490.8075999992434
9,677,677.0,calibration,0.024501,87.76833255754691,87.95449506430589,87.93690564925826,87.95449506430589,87.93690564925826,0.0,0.0,0.0,0.0,0.035900963762146354,0.03590087135160923,0.0021210669194030177,0.001920659613771558,0.0020376024895528374,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,184.8486636286845,184.83706951868828,31.069419694222653,9.723856531457666e-06,0.09694895904503009,85.69446168016393,484547.52270823304,1.0,1.0,1.0,1.0,1.0,1.0,31.06291330432381,9.724209057373748e-06,0.09695630577421199,85.67722467828497,484581.9361326768,1.0,1.0,1.0,1.0,1.0,1.0,True,484.9153999966802
10,752,752.0,calibration,0.025164999999999996,91.82281367807965,88.02466934311991,88.43286800794665,88.02466934311991,88.43286800794665,0.0,0.0,0.0,0.0,0.034520878039814976,0.03452145609273605,0.041363841760236254,0.03691833798534824,0.0018417308768976205,1.012,liquid:instantaneous;sand:cumulative,1,0.5,0.0,207.92014771289917,208.26074367330293,31.056522212154228,9.722373074684314e-06,0.09708294188872639,85.68062356868288,484915.29044614313,1.0,1.0,1.0,1.0,1.0,1.0,31.22953663188731,9.723057256079382e-06,0.09687867948810541,86.07921917691453,484282.7213303944,1.0,1.0,1.0,1.0,1.0,1.0,True,480.9813999963808
11,827,827.0,calibration,0.025167,91.94867847719175,88.47798949048592,88.83856225391408,88.47798949048592,88.83856225391408,0.0,0.0,0.0,0.0,0.03244568380667662,0.03244802724488394,0.03774593658316408,0.03382447985969857,0.0017715941683032514,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,230.9021706242368,231.24312906119297,31.24591808903348,9.724544549526934e-06,0.09679316226917095,86.0764496792744,484341.27798769315,1.0,1.0,1.0,1.0,1.0,1.0,31.43001042601073,9.724492117395002e-06,0.09668885880474705,86.4261017692424,483826.78689244326,1.0,1.0,1.0,1.0,1.0,1.0,True,482.3076000029687
12,902,902.0,calibration,0.049500999999999996,91.07385143701416,90.0254224869053,90.10271588756292,90.0254224869053,90.10271588756292,0.0,0.0,0.0,0.0,0.02684791302768018,0.02684598750271211,0.011511854759254809,0.01066316548743809,0.0017037317688863509,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,261.35739720825677,261.4449407182454,31.38032377750026,9.71635819672306e-06,0.09668646026122411,86.42896934599094,483841.7449080336,1.0,1.0,1.0,1.0,1.0,1.0,31.454010782339008,9.717704054344061e-06,0.09676447787491844,86.49886578641392,483677.68450050364,1.0,1.0,1.0,1.0,1.0,1.0,True,649.0641999989748
13,977,977.0,calibration,0.050668000000000005,88.6031595977245,90.2553812875251,90.10104064293071,90.2553812875251,90.10104064293071,0.0,0.0,0.0,0.0,0.03170466324710984,0.031708347025938166,0.018647435343186455,0.01690550373154731,0.001568170911137474,1.012,liquid:instantaneous;sand:cumulative,1,0.5,3.242338713980129e-16,299.11345141237024,298.8715044931821,31.465021407347358,9.723474994681293e-06,0.09662734257291136,86.49823748051318,483734.5597840727,1.0,1.0,1.0,1.0,1.0,1.0,31.299915385246948,9.719128085399178e-06,0.09647378536026813,86.36104235810888,484188.71831660724,1.0,1.0,1.0,1.0,1.0,1.0,True,514.6487000019988
14,1052,1052.0,calibration,0.049500999999999996,87.58385143701415,90.13493842700977,89.92098046574668,90.13493842700977,89.92098046574668,0.0,0.0,0.0,0.0,0.03535327910117017,0.03535688312446411,0.029127367067549398,0.026684474253947123,0.0014775809950163517,1.012,liquid:instantaneous;sand:cumulative,1,0.5,1.4803222821109897e-16,334.84969582740155,334.42446267807514,31.307230804301444,9.72832959594725e-06,0.0963846775225522,86.36113619338273,484748.7166469069,1.0,1.0,1.0,1.0,1.0,1.0,31.087081474097673,9.719990787073797e-06,0.09627228723282949,86.16951577935774,485310.92288211256,1.0,1.0,1.0,1.0,1.0,1.0,True,516.6992999947979
15,1128,1128.0,calibration,0.05066700000000001,87.44764071825726,90.03468896573918,89.78841818625584,90.03468896573918,89.78841818625584,0.0,0.0,0.0,0.0,0.03382560361159441,0.033823581078668175,0.02958396848940711,0.026767760099328464,0.0014397872360822292,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,1.3753098896865386e-16,369.66461386633057,369.0418818697945,31.07127018225004,9.721555825001612e-06,0.09620716738671356,86.17362875631137,484762.94965691376,1.0,1.0,1.0,1.0,1.0,1.0,30.783087541608438,9.706832639602824e-06,0.0960802865802467,85.95725144242039,485286.2471617828,1.0,1.0,1.0,1.0,1.0,1.0,True,495.5497999981162
16,1203,1203.0,calibration,0.049998999999999995,97.69740564256267,89.78777489665974,90.38292802838008,89.78777489665974,90.38292802838008,0.0,0.0,0.0,0.0,0.03624692067861146,0.036238193571957095,0.08096049934878757,0.07486869857059932,0.0012987650533533538,1.012,liquid:instantaneous;sand:cumulative,1,0.5000000000000001,0.0,402.62158018877744,404.3887605576745,30.761092055579372,9.707341154145095e-06,0.09612528834331613,85.95429714562732,485261.46924043016,1.0,1.0,1.0,1.0,1.0,1.0,31.472039976084215,9.749336545873388e-06,0.09636993232222209,86.4759712754896,483335.3746398502,1.0,1.0,1.0,1.0,1.0,1.0,True,485.9213000017917
