action_clipped_rate,algorithm,available,confirmation_rate,hard_sand_limit_configured,hard_sand_limit_percent,hard_sand_limit_violation_count,high_sand_ratio_count,high_sand_ratio_fraction,high_sand_warning_percent,max_absolute_flow_change_m3_min,max_observed_sand_ratio_percent,max_sand_delta_from_reference_percent,nan_or_inf_output,p95_absolute_flow_change_m3_min,p95_sand_delta_from_reference_percent,p95_sand_ratio_percent,policy,sand_increase_over_step_count,seed,surrogate_fallback_rate,unsafe_rate
0.09,ppo,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.4164925515651703,13.0,0.3257625997066498,False,2.2735131040215486,0.2971823293715715,10.0,PPO智能体,0,,0.0,0.0
0.08166666666666667,ppo,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.065833330154418,13.0,0.5,False,1.3974486441332838,0.4285714328289032,10.0,历史施工策略,0,,0.0,0.0
0.09,ppo,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.000000000000001,13.0,0.4285714328289032,False,1.3969901411831391,0.4285714328289032,10.0,保守规则策略,0,,0.0,0.0
0.295,ppo,True,0.295,False,,,177,0.295,10.0,3.342914223670959,13.0,0.2881448231637478,False,3.3340467393398283,0.26656106347218156,12.0,PPO智能体,0,,0.0,0.0
0.2866666666666667,ppo,True,0.2966666666666667,False,,,178,0.2966666666666667,10.0,2.0,13.0,0.5,False,1.3900312989950179,0.4285714328289032,12.0,历史施工策略,0,,0.0,0.0
0.295,ppo,True,0.295,False,,,177,0.295,10.0,2.0,13.0,0.4285714328289032,False,1.3465154647827149,0.4285714328289032,12.0,保守规则策略,0,,0.0,0.0
0.0,ppo,True,0.0,False,,,0,0.0,10.0,2.915513761341572,6.404598489403725,0.4060751646757126,False,2.470592330396175,0.40495634973049166,6.4042857617139815,PPO智能体,0,,0.0,0.0
0.0,ppo,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4571428596973419,False,1.4930040597915648,0.4357142895460129,6.428571432828903,历史施工策略,0,,0.0,0.0
0.0,ppo,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4285714328289032,False,1.5160576879978176,0.4285714328289032,6.428571432828903,保守规则策略,0,,0.0,0.0
0.09,sac,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,3.5372698307037354,13.0,0.23253962397575378,False,3.4327239036560058,0.22799694985151284,10.0,SAC智能体,0,,0.0,0.0
0.08166666666666667,sac,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.065833330154418,13.0,0.5,False,1.39719831058383,0.4285714328289032,10.0,历史施工策略,0,,0.0,0.0
0.09,sac,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.000000000000001,13.0,0.4285714328289032,False,1.3970156246889376,0.4285714328289032,10.0,保守规则策略,0,,0.0,0.0
0.295,sac,True,0.295,False,,,177,0.295,10.0,3.5696091651916504,13.0,0.28750279545783997,False,3.4841153979301454,0.24526448771357534,12.0,SAC智能体,0,,0.0,0.0
0.2866666666666667,sac,True,0.2966666666666667,False,,,178,0.2966666666666667,10.0,2.0,13.0,0.5,False,1.3900312989950179,0.4285714328289032,12.0,历史施工策略,0,,0.0,0.0
0.295,sac,True,0.295,False,,,177,0.295,10.0,2.0,13.0,0.4285714328289032,False,1.346984624862671,0.4285714328289032,12.0,保守规则策略,0,,0.0,0.0
0.0,sac,True,0.0,False,,,0,0.0,10.0,3.529239416122436,6.197134554386139,0.23816803097724912,False,3.518732964992523,0.2354437619447708,6.1962811887264255,SAC智能体,0,,0.0,0.0
0.0,sac,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4571428596973419,False,1.4932697162032122,0.4357142895460129,6.428571432828903,历史施工策略,0,,0.0,0.0
0.0,sac,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4285714328289032,False,1.5113341987133024,0.4285714328289032,6.428571432828903,保守规则策略,0,,0.0,0.0
0.0,td3,True,0.09,False,,,54,0.09,10.0,4.000000000000001,13.0,7.748603820800781e-07,False,4.0,3.8743019104003906e-07,10.0,TD3智能体,0,,0.0,0.0
0.08166666666666667,td3,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.065833330154418,13.0,0.5,False,1.3981831564437597,0.4285714328289032,10.0,历史施工策略,0,,0.0,0.0
0.09,td3,True,0.09166666666666666,False,,,55,0.09166666666666666,10.0,2.000000000000001,13.0,0.4285714328289032,False,1.3970148106161513,0.4285714328289032,10.0,保守规则策略,0,,0.0,0.0
0.0,td3,True,0.295,False,,,177,0.295,10.0,4.0,13.0,2.6971101760864258e-06,False,4.0,1.4327466487884501e-06,12.0,TD3智能体,0,,0.0,0.0
0.2866666666666667,td3,True,0.2966666666666667,False,,,178,0.2966666666666667,10.0,2.0,13.0,0.5,False,1.3900312989950179,0.4285714328289032,12.0,历史施工策略,0,,0.0,0.0
0.295,td3,True,0.295,False,,,177,0.295,10.0,2.0,13.0,0.4285714328289032,False,1.3466964453458785,0.4285714328289032,12.0,保守规则策略,0,,0.0,0.0
0.0,td3,True,0.0,False,,,0,0.0,10.0,4.000000000000002,6.0,1.4901161193847656e-08,False,4.0,1.4901161193847656e-08,6.0,TD3智能体,0,,0.0,0.0
0.0,td3,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4571428596973419,False,1.4470355868339528,0.4357142895460129,6.428571432828903,历史施工策略,0,,0.0,0.0
0.0,td3,True,0.0,False,,,0,0.0,10.0,3.19970703125,6.428571432828903,0.4285714328289032,False,1.5050823777914044,0.4285714328289032,6.428571432828903,保守规则策略,0,,0.0,0.0
